bottom_left,bottom_right,top_left,top_right,moisture,ph,nutrients,temperature,humidity
"(0,0)","(0,1)","(1,0)","(1,1)",19.63,6.91,87,32.2,60
"(0,1)","(0,2)","(1,1)","(1,2)",35.34,4.99,12,28.2,49
"(1,0)","(1,1)","(2,0)","(2,1)",39.81,7.7,33,32.0,99
"(1,1)","(1,2)","(2,1)","(2,2)",13.31,7.96,98,5.0,78
"(0,2)","(0,3)","(1,2)","(1,3)",35.06,5.89,60,6.7,38
"(0,3)","(0,4)","(1,3)","(1,4)",14.59,5.41,76,12.5,78
"(1,2)","(1,3)","(2,2)","(2,3)",26.07,5.3,86,16.7,76
"(1,3)","(1,4)","(2,3)","(2,4)",17.46,4.56,62,18.6,33
"(2,0)","(2,1)","(3,0)","(3,1)",14.47,7.23,85,6.8,73
"(2,1)","(2,2)","(3,1)","(3,2)",30.68,5.64,27,7.8,69
"(3,0)","(3,1)","(4,0)","(4,1)",24.8,6.79,92,30.0,58
"(3,1)","(3,2)","(4,1)","(4,2)",36.28,7.73,61,13.0,90
"(2,2)","(2,3)","(3,2)","(3,3)",39.41,8.16,54,26.8,80
"(2,3)","(2,4)","(3,3)","(3,4)",38.93,5.32,11,32.4,90
"(3,2)","(3,3)","(4,2)","(4,3)",24.03,4.56,95,17.0,70
"(3,3)","(3,4)","(4,3)","(4,4)",39.77,5.67,25,30.9,86
"(0,4)","(0,5)","(1,4)","(1,5)",25.97,7.38,25,11.6,59
"(0,5)","(0,6)","(1,5)","(1,6)",36.57,8.0,62,31.0,60
"(1,4)","(1,5)","(2,4)","(2,5)",7.76,6.95,0,26.1,20
"(1,5)","(1,6)","(2,5)","(2,6)",26.68,8.39,14,20.6,60
"(0,6)","(0,7)","(1,6)","(1,7)",34.61,7.93,29,32.3,54
"(0,7)","(0,8)","(1,7)","(1,8)",21.33,8.4,15,33.5,60
"(1,6)","(1,7)","(2,6)","(2,7)",30.3,7.38,43,13.5,62
"(1,7)","(1,8)","(2,7)","(2,8)",28.05,6.1,31,12.2,46
"(2,4)","(2,5)","(3,4)","(3,5)",8.27,5.85,67,12.9,69
"(2,5)","(2,6)","(3,5)","(3,6)",11.85,5.7,99,12.9,93
"(3,4)","(3,5)","(4,4)","(4,5)",18.17,7.92,81,14.9,36
"(3,5)","(3,6)","(4,5)","(4,6)",10.47,6.36,71,34.7,26
"(2,6)","(2,7)","(3,6)","(3,7)",11.09,5.99,56,31.3,31
"(2,7)","(2,8)","(3,7)","(3,8)",7.2,8.13,84,13.9,22
"(3,6)","(3,7)","(4,6)","(4,7)",29.3,6.2,14,27.7,100
"(3,7)","(3,8)","(4,7)","(4,8)",25.96,7.41,90,19.0,44
"(4,0)","(4,1)","(5,0)","(5,1)",34.35,8.27,79,26.6,28
"(4,1)","(4,2)","(5,1)","(5,2)",10.71,5.96,13,21.4,61
"(5,0)","(5,1)","(6,0)","(6,1)",11.77,6.56,40,27.5,88
"(5,1)","(5,2)","(6,1)","(6,2)",6.17,6.22,69,23.6,23
"(4,2)","(4,3)","(5,2)","(5,3)",11.97,4.52,82,30.8,50
"(4,3)","(4,4)","(5,3)","(5,4)",13.09,6.66,63,5.6,33
"(5,2)","(5,3)","(6,2)","(6,3)",6.86,7.19,66,6.2,76
"(5,3)","(5,4)","(6,3)","(6,4)",26.5,6.31,48,19.1,74
"(6,0)","(6,1)","(7,0)","(7,1)",23.58,5.61,97,30.8,62
"(6,1)","(6,2)","(7,1)","(7,2)",38.71,8.12,70,22.8,45
"(7,0)","(7,1)","(8,0)","(8,1)",32.87,5.29,83,30.2,68
"(7,1)","(7,2)","(8,1)","(8,2)",36.79,5.47,56,33.8,93
"(6,2)","(6,3)","(7,2)","(7,3)",39.05,6.29,43,6.3,94
